127.0.0.1, 2018-04-06 17:38:55, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/default/index, HTTP/1.1, 200, 0.922000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.077000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.105000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.116000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-04-06 17:38:59, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-06 17:39:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-06 17:39:01, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2018-04-06 17:39:01, GET, /admin/default/site, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-06 17:39:01, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-04-06 17:39:02, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-06 17:39:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.388000
127.0.0.1, 2018-04-06 17:39:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
